url_path,views_total,views_unique
/TouK/nussknacker-quickstart,63,24
/TouK/nussknacker-quickstart/tree/main/k8s-helm,9,3
/TouK/nussknacker-quickstart/tree/main/docker/common,9,2
/TouK/nussknacker-quickstart/pull/135,8,4
/TouK/nussknacker-quickstart/tree/main/docker,6,3
/TouK/nussknacker-quickstart/pull/134/files,5,5
/TouK/nussknacker-quickstart/blob/main/docker/common/docker-compose-custom.yml,5,2
/TouK/nussknacker-quickstart/blob/main/README.md,5,2
/TouK/nussknacker-quickstart/blob/main/docker/common/docker-compose.yml,4,1
/TouK/nussknacker-quickstart/tree/main/docker/streaming,4,1
