url_path,views_total,views_unique
/TouK/nussknacker-quickstart,40,20
/TouK/nussknacker-quickstart/tree/main/docker,29,5
/TouK/nussknacker-quickstart/tree/main/docker/streaming,24,4
/TouK/nussknacker-quickstart/tree/main/docker/common,21,4
/TouK/nussknacker-quickstart/blob/main/docker/streaming/docker-compose-streaming.yml,14,3
/TouK/nussknacker-quickstart/blob/main/docker/streaming/nussknacker/nussknacker.conf,13,6
/TouK/nussknacker-quickstart/actions/workflows/pr.yml,13,2
/TouK/nussknacker-quickstart/actions,12,4
/TouK/nussknacker-quickstart/tree/main/common,10,4
/TouK/nussknacker-quickstart/blob/main/docker/common/docker-compose.yml,10,3
