time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-22 00:00:00+00:00,13,1,2.0,1.0
2023-08-23 00:00:00+00:00,13,2,,
2023-08-24 00:00:00+00:00,18,2,6.0,1.0
2023-08-25 00:00:00+00:00,12,1,45.0,5.0
2023-08-26 00:00:00+00:00,2,1,,
2023-08-27 00:00:00+00:00,2,1,,
2023-08-28 00:00:00+00:00,3,2,,
2023-08-29 00:00:00+00:00,9,2,1.0,1.0
2023-08-30 00:00:00+00:00,13,2,39.0,1.0
2023-08-31 00:00:00+00:00,19,3,9.0,3.0
2023-09-01 00:00:00+00:00,12,1,2.0,1.0
2023-09-02 00:00:00+00:00,4,2,,
2023-09-03 00:00:00+00:00,3,2,49.0,1.0
2023-09-04 00:00:00+00:00,13,2,8.0,3.0
