time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-02 00:00:00+00:00,94,12,304,9
2024-02-03 00:00:00+00:00,3,2,1,1
2024-02-04 00:00:00+00:00,9,1,4,2
2024-02-05 00:00:00+00:00,5,4,34,7
2024-02-06 00:00:00+00:00,3,2,7,2
2024-02-07 00:00:00+00:00,13,2,9,3
2024-02-08 00:00:00+00:00,16,4,76,4
2024-02-09 00:00:00+00:00,9,3,7,2
2024-02-10 00:00:00+00:00,2,1,9,2
2024-02-11 00:00:00+00:00,3,2,2,2
2024-02-12 00:00:00+00:00,12,1,2,2
2024-02-13 00:00:00+00:00,17,1,4,1
2024-02-14 00:00:00+00:00,13,2,5,3
2024-02-15 00:00:00+00:00,33,2,3,3
