url_path,views_total,views_unique
/TouK/recommendations-showcase-notebook,6,2
/TouK/recommendations-showcase-notebook/pull/3/files,4,1
/TouK/recommendations-showcase-notebook/blob/main/sli_rec_with_amazonds_on_databricks.ipynb,3,2
/TouK/recommendations-showcase-notebook/pull/4,3,2
/TouK/recommendations-showcase-notebook/blob/3bb92c5bf4eeb186f725488badeb90427442802a/scripts/ml/interaction_rules.py,3,1
/TouK/recommendations-showcase-notebook/pull/2,3,1
/TouK/recommendations-showcase-notebook/pull/3,3,1
/TouK/recommendations-showcase-notebook/pull/4/files,3,1
/TouK/recommendations-showcase-notebook/blob/3bb92c5bf4eeb186f725488badeb90427442802a/scripts/ml/generate_interactions.py,2,1
/TouK/recommendations-showcase-notebook/blob/c508d310f974a8dc1bc3770d6f53955b3d125123/sli_rec_on_custom_dataset_on_databricks.ipynb,2,1
