time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-09 00:00:00+00:00,8.0,1.0,1.0,1.0
2023-11-10 00:00:00+00:00,21.0,6.0,49.0,1.0
2023-11-12 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-11-13 00:00:00+00:00,5.0,2.0,1.0,1.0
2023-11-14 00:00:00+00:00,28.0,4.0,32.0,3.0
2023-11-15 00:00:00+00:00,1.0,1.0,20.0,2.0
2023-11-16 00:00:00+00:00,,,1.0,1.0
2023-11-17 00:00:00+00:00,4.0,1.0,2.0,2.0
2023-11-20 00:00:00+00:00,2.0,2.0,,
