time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,5,3,24.0,2.0
2024-10-02 00:00:00+00:00,5,2,,
2024-10-03 00:00:00+00:00,6,2,22.0,2.0
2024-10-04 00:00:00+00:00,1,1,,
2024-10-06 00:00:00+00:00,3,1,,
2024-10-07 00:00:00+00:00,17,3,,
2024-10-08 00:00:00+00:00,2,1,4.0,1.0
2024-10-09 00:00:00+00:00,1,1,,
2024-10-10 00:00:00+00:00,1,1,11.0,2.0
2024-10-11 00:00:00+00:00,17,2,58.0,4.0
2024-10-14 00:00:00+00:00,2,2,4.0,3.0
