time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,638,28,345,29
2025-05-27 00:00:00+00:00,387,34,150,32
2025-05-28 00:00:00+00:00,292,22,125,24
2025-05-29 00:00:00+00:00,320,25,156,19
2025-05-30 00:00:00+00:00,252,19,144,21
2025-05-31 00:00:00+00:00,60,7,10,5
2025-06-01 00:00:00+00:00,85,19,45,7
2025-06-02 00:00:00+00:00,309,19,123,18
2025-06-03 00:00:00+00:00,522,29,251,26
2025-06-04 00:00:00+00:00,622,28,354,23
2025-06-05 00:00:00+00:00,621,28,174,17
2025-06-06 00:00:00+00:00,247,17,164,17
2025-06-07 00:00:00+00:00,38,5,6,4
2025-06-08 00:00:00+00:00,129,15,65,8
