time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-02 00:00:00+00:00,97,13,48,15
2023-07-03 00:00:00+00:00,204,15,172,29
2023-07-04 00:00:00+00:00,201,6,236,35
2023-07-05 00:00:00+00:00,206,8,237,31
2023-07-06 00:00:00+00:00,168,7,114,38
2023-07-07 00:00:00+00:00,228,10,267,31
2023-07-08 00:00:00+00:00,199,18,22,13
2023-07-09 00:00:00+00:00,31,7,13,8
2023-07-10 00:00:00+00:00,205,11,356,23
2023-07-11 00:00:00+00:00,294,6,449,28
2023-07-12 00:00:00+00:00,299,11,431,33
2023-07-13 00:00:00+00:00,295,12,370,33
2023-07-14 00:00:00+00:00,393,15,241,29
2023-07-15 00:00:00+00:00,33,6,77,15
