time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-27 00:00:00+00:00,235,7,369,43
2023-07-28 00:00:00+00:00,59,5,107,30
2023-07-29 00:00:00+00:00,4,2,16,6
2023-07-30 00:00:00+00:00,8,8,10,8
2023-07-31 00:00:00+00:00,70,5,143,23
2023-08-01 00:00:00+00:00,271,18,293,42
2023-08-02 00:00:00+00:00,135,4,223,29
2023-08-03 00:00:00+00:00,135,3,364,37
2023-08-04 00:00:00+00:00,23,3,663,28
2023-08-05 00:00:00+00:00,4,2,46,19
2023-08-06 00:00:00+00:00,5,5,31,13
2023-08-07 00:00:00+00:00,207,10,322,32
2023-08-08 00:00:00+00:00,71,4,202,31
2023-08-09 00:00:00+00:00,210,11,254,33
