time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-02 00:00:00+00:00,83,10,35,20
2023-02-03 00:00:00+00:00,69,8,45,23
2023-02-04 00:00:00+00:00,22,6,30,12
2023-02-05 00:00:00+00:00,23,11,16,10
2023-02-06 00:00:00+00:00,145,9,157,25
2023-02-07 00:00:00+00:00,295,12,204,29
2023-02-08 00:00:00+00:00,401,15,282,29
2023-02-09 00:00:00+00:00,250,14,196,24
2023-02-10 00:00:00+00:00,245,11,142,33
2023-02-11 00:00:00+00:00,233,13,23,6
2023-02-12 00:00:00+00:00,322,16,28,11
2023-02-13 00:00:00+00:00,394,12,118,28
2023-02-14 00:00:00+00:00,539,15,145,20
2023-02-15 00:00:00+00:00,395,17,111,27
