time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,57,9,37,14
2025-12-14 00:00:00+00:00,44,15,28,9
2025-12-15 00:00:00+00:00,544,49,171,32
2025-12-16 00:00:00+00:00,262,23,119,15
2025-12-17 00:00:00+00:00,670,60,183,14
2025-12-18 00:00:00+00:00,878,76,197,26
2025-12-19 00:00:00+00:00,542,95,344,26
2025-12-20 00:00:00+00:00,331,14,22,8
2025-12-21 00:00:00+00:00,400,31,18,11
2025-12-22 00:00:00+00:00,255,31,82,18
2025-12-23 00:00:00+00:00,719,75,107,22
2025-12-24 00:00:00+00:00,193,13,26,20
2025-12-25 00:00:00+00:00,281,7,32,14
2025-12-26 00:00:00+00:00,334,6,13,11
